profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
ocma_6-1-0,acquisition,ns2:acquisitions_omca,ns2:acquisitions_omca,acquisitions_omca.accessionDescription,Acquisition Information,"",Accession description,"",accessionDescription,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_common,ns2:contacts_common,contacts_common.email,Acquisition Information,Contact > Contact Information > Email,Address,emailGroupList > emailGroup,email,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_common,ns2:contacts_common,contacts_common.emailType,Acquisition Information,Contact > Contact Information > Email,Type,emailGroupList > emailGroup,emailType,string,n,n,y,other: emailtype,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_common,ns2:contacts_common,contacts_common.telephoneNumber,Acquisition Information,Contact > Contact Information > Phone,Number,telephoneNumberGroupList > telephoneNumberGroup,telephoneNumber,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_common,ns2:contacts_common,contacts_common.telephoneNumberType,Acquisition Information,Contact > Contact Information > Phone,Type,telephoneNumberGroupList > telephoneNumberGroup,telephoneNumberType,string,n,n,y,other: telephonenumbertype,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_common,ns2:contacts_common,contacts_common.faxNumber,Acquisition Information,Contact > Contact Information > Fax,Number,faxNumberGroupList > faxNumberGroup,faxNumber,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_common,ns2:contacts_common,contacts_common.faxNumberType,Acquisition Information,Contact > Contact Information > Fax,Type,faxNumberGroupList > faxNumberGroup,faxNumberType,string,n,n,y,other: faxnumbertype,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_common,ns2:contacts_common,contacts_common.webAddress,Acquisition Information,Contact > Contact Information > Web site,URL,webAddressGroupList > webAddressGroup,webAddress,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_common,ns2:contacts_common,contacts_common.webAddressType,Acquisition Information,Contact > Contact Information > Web site,Type,webAddressGroupList > webAddressGroup,webAddressType,string,n,n,y,other: webaddresstype,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_omca,ns2:contacts_omca,contacts_omca.addressPlace1OMCA,Acquisition Information,Contact > Contact Information > field.contacts_omca.addressGroupOMCA,field.contacts_omca.addressPlace1OMCA,"",addressPlace1OMCA,"","","","","","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_omca,ns2:contacts_omca,contacts_omca.addressPlace2OMCA,Acquisition Information,Contact > Contact Information > field.contacts_omca.addressGroupOMCA,field.contacts_omca.addressPlace2OMCA,"",addressPlace2OMCA,"","","","","","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_omca,ns2:contacts_omca,contacts_omca.addressMunicipalityOMCA,Acquisition Information,Contact > Contact Information > field.contacts_omca.addressGroupOMCA,field.contacts_omca.addressMunicipalityOMCA,"",addressMunicipalityOMCA,"","","","","","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_omca,ns2:contacts_omca,contacts_omca.addressStateOrProvinceOMCA,Acquisition Information,Contact > Contact Information > field.contacts_omca.addressGroupOMCA,field.contacts_omca.addressStateOrProvinceOMCA,"",addressStateOrProvinceOMCA,"","","","","","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:contacts_omca,ns2:contacts_omca,contacts_omca.addressPostCodeOMCA,Acquisition Information,Contact > Contact Information > field.contacts_omca.addressGroupOMCA,field.contacts_omca.addressPostCodeOMCA,"",addressPostCodeOMCA,"","","","","","",not in publicart_2-0-1
