profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
materials_2_0_0,organization,ns2:organizations_common,ns2:organizations_common,organizations_common.contactName,Organization Information,Contact person,Contact name,contactGroupList > contactGroup,contactName,string,n,n,y,authority: person/local,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ns2:organizations_common,organizations_common.contactRole,Organization Information,Contact person,Contact role,contactGroupList > contactGroup,contactRole,string,n,n,y,vocabulary: contactrole,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ns2:organizations_common,organizations_common.contactStatus,Organization Information,Contact person,Contact status,contactGroupList > contactGroup,contactStatus,string,n,n,y,vocabulary: contactstatus,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateDisplayDate,Organization Information,Contact person > Contact date,Display date,contactGroupList > contactGroup > contactDateGroup,dateDisplayDate,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.datePeriod,Organization Information,Contact person > Contact date,Period,contactGroupList > contactGroup > contactDateGroup,datePeriod,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateAssociation,Organization Information,Contact person > Contact date,Association,contactGroupList > contactGroup > contactDateGroup,dateAssociation,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateNote,Organization Information,Contact person > Contact date,Note,contactGroupList > contactGroup > contactDateGroup,dateNote,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleYear,Organization Information,Contact person > Contact date,Earliest/single year,contactGroupList > contactGroup > contactDateGroup,dateEarliestSingleYear,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleMonth,Organization Information,Contact person > Contact date,Earliest/single month,contactGroupList > contactGroup > contactDateGroup,dateEarliestSingleMonth,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleDay,Organization Information,Contact person > Contact date,Earliest/single day,contactGroupList > contactGroup > contactDateGroup,dateEarliestSingleDay,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleEra,Organization Information,Contact person > Contact date,Earliest/single era,contactGroupList > contactGroup > contactDateGroup,dateEarliestSingleEra,string,n,n,as part of larger repeating group,vocabulary: dateera,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleCertainty,Organization Information,Contact person > Contact date,Earliest/single certainty,contactGroupList > contactGroup > contactDateGroup,dateEarliestSingleCertainty,string,n,n,as part of larger repeating group,vocabulary: datecertainty,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Organization Information,Contact person > Contact date,Earliest/single qualifier,contactGroupList > contactGroup > contactDateGroup,dateEarliestSingleQualifier,string,n,n,as part of larger repeating group,option list: dateQualifiers,", +, +/-, -",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierValue,Organization Information,Contact person > Contact date,Earliest/single qualifier value,contactGroupList > contactGroup > contactDateGroup,dateEarliestSingleQualifierValue,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierUnit,Organization Information,Contact person > Contact date,Earliest/single qualifier unit,contactGroupList > contactGroup > contactDateGroup,dateEarliestSingleQualifierUnit,string,n,n,as part of larger repeating group,vocabulary: datequalifier,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestYear,Organization Information,Contact person > Contact date,Latest year,contactGroupList > contactGroup > contactDateGroup,dateLatestYear,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestMonth,Organization Information,Contact person > Contact date,Latest month,contactGroupList > contactGroup > contactDateGroup,dateLatestMonth,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestDay,Organization Information,Contact person > Contact date,Latest day,contactGroupList > contactGroup > contactDateGroup,dateLatestDay,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestEra,Organization Information,Contact person > Contact date,Latest era,contactGroupList > contactGroup > contactDateGroup,dateLatestEra,string,n,n,as part of larger repeating group,vocabulary: dateera,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestCertainty,Organization Information,Contact person > Contact date,Latest certainty,contactGroupList > contactGroup > contactDateGroup,dateLatestCertainty,string,n,n,as part of larger repeating group,vocabulary: datecertainty,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Organization Information,Contact person > Contact date,Latest qualifier,contactGroupList > contactGroup > contactDateGroup,dateLatestQualifier,string,n,n,as part of larger repeating group,option list: dateQualifiers,", +, +/-, -",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestQualifierValue,Organization Information,Contact person > Contact date,Latest qualifier value,contactGroupList > contactGroup > contactDateGroup,dateLatestQualifierValue,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestQualifierUnit,Organization Information,Contact person > Contact date,Latest qualifier unit,contactGroupList > contactGroup > contactDateGroup,dateLatestQualifierUnit,string,n,n,as part of larger repeating group,vocabulary: datequalifier,"",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestScalarValue,Organization Information,Contact person > Contact date,Earliest represented date,contactGroupList > contactGroup > contactDateGroup,dateEarliestScalarValue,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateLatestScalarValue,Organization Information,Contact person > Contact date,Latest represented date,contactGroupList > contactGroup > contactDateGroup,dateLatestScalarValue,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.scalarValuesComputed,Organization Information,Contact person > Contact date,Represented dates computed,contactGroupList > contactGroup > contactDateGroup,scalarValuesComputed,boolean,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateDisplayDate,Organization Information,Contact person > Contact end date,Display date,contactGroupList > contactGroup > contactEndDateGroup,dateDisplayDate,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.datePeriod,Organization Information,Contact person > Contact end date,Period,contactGroupList > contactGroup > contactEndDateGroup,datePeriod,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateAssociation,Organization Information,Contact person > Contact end date,Association,contactGroupList > contactGroup > contactEndDateGroup,dateAssociation,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateNote,Organization Information,Contact person > Contact end date,Note,contactGroupList > contactGroup > contactEndDateGroup,dateNote,string,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleYear,Organization Information,Contact person > Contact end date,Earliest/single year,contactGroupList > contactGroup > contactEndDateGroup,dateEarliestSingleYear,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
materials_2_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleMonth,Organization Information,Contact person > Contact end date,Earliest/single month,contactGroupList > contactGroup > contactEndDateGroup,dateEarliestSingleMonth,integer,n,n,as part of larger repeating group,"","",not in materials_1_0_5
