profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.taxon,Object Identification Information,"",Scientific name,"",taxon,string,n,n,n/a,authority: taxon/local; authority: taxon/common,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.commonName,Object Identification Information,"",Common name,"",commonName,string,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.japaneseName,Object Identification Information,"",Japanese name,"",japaneseName,string,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.nativeSpecies,Object Identification Information,"",Native species?,"",nativeSpecies,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.sponsor,Object Identification Information,"",Sponsor,"",sponsor,string,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.sponsorStartDate,Object Identification Information,"",Sponsor start date,"",sponsorStartDate,date,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.sponsorEndDate,Object Identification Information,"",Sponsor end date,"",sponsorEndDate,date,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.assignedVolunteer,Object Identification Information,"",Assigned volunteer,assignedVolunteers,assignedVolunteer,string,n,y,n,authority: person/local; authority: person/ulan,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.potStyle,Object Description Information,"",Pot style,"",potStyle,string,n,n,n/a,vocabulary: potstyle,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_bonsai,ns2:collectionobjects_bonsai,collectionobjects_bonsai.treeType,Object Description Information,"",Tree type,"",treeType,string,n,n,n/a,vocabulary: treetype,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersJan,Object Description Information,Accession Attributes > Flowers,Flowers Jan,"",flowersJan,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersFeb,Object Description Information,Accession Attributes > Flowers,Flowers Feb,"",flowersFeb,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersMar,Object Description Information,Accession Attributes > Flowers,Flowers Mar,"",flowersMar,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersApr,Object Description Information,Accession Attributes > Flowers,Flowers Apr,"",flowersApr,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersMay,Object Description Information,Accession Attributes > Flowers,Flowers May,"",flowersMay,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersJun,Object Description Information,Accession Attributes > Flowers,Flowers Jun,"",flowersJun,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersJul,Object Description Information,Accession Attributes > Flowers,Flowers Jul,"",flowersJul,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersAug,Object Description Information,Accession Attributes > Flowers,Flowers Aug,"",flowersAug,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersSep,Object Description Information,Accession Attributes > Flowers,Flowers Sep,"",flowersSep,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersOct,Object Description Information,Accession Attributes > Flowers,Flowers Oct,"",flowersOct,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersNov,Object Description Information,Accession Attributes > Flowers,Flowers Nov,"",flowersNov,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.flowersDec,Object Description Information,Accession Attributes > Flowers,Flowers Dec,"",flowersDec,string,n,n,n/a,vocabulary: floweringstatus,"",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsJan,Object Description Information,Accession Attributes > Fruits,Fruits Jan,"",fruitsJan,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsFeb,Object Description Information,Accession Attributes > Fruits,Fruits Feb,"",fruitsFeb,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsMar,Object Description Information,Accession Attributes > Fruits,Fruits Mar,"",fruitsMar,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsApr,Object Description Information,Accession Attributes > Fruits,Fruits Apr,"",fruitsApr,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsMay,Object Description Information,Accession Attributes > Fruits,Fruits May,"",fruitsMay,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsJun,Object Description Information,Accession Attributes > Fruits,Fruits Jun,"",fruitsJun,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsJul,Object Description Information,Accession Attributes > Fruits,Fruits Jul,"",fruitsJul,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsAug,Object Description Information,Accession Attributes > Fruits,Fruits Aug,"",fruitsAug,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsSep,Object Description Information,Accession Attributes > Fruits,Fruits Sep,"",fruitsSep,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsOct,Object Description Information,Accession Attributes > Fruits,Fruits Oct,"",fruitsOct,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsNov,Object Description Information,Accession Attributes > Fruits,Fruits Nov,"",fruitsNov,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,collectionobject,ns2:collectionobjects_accessionattributes,ext.accessionattributes,ext.accessionattributes.fruitsDec,Object Description Information,Accession Attributes > Fruits,Fruits Dec,"",fruitsDec,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_bonsai,ns2:conservation_bonsai,conservation_bonsai.treatmentPerformed,Conservation Treatment Information,field.conservation_bonsai.treatmentsPerformed,Treatment performed,treatmentsPerformed,treatmentPerformed,string,n,y,n,vocabulary: treatmentperformed,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_bonsai,ns2:conservation_bonsai,conservation_bonsai.futureTreatment,Object Analysis Information,Future treatment,Future treatment,futureTreatmentGroupList > futureTreatmentGroup,futureTreatment,string,n,n,y,vocabulary: futuretreatment,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_bonsai,ns2:conservation_bonsai,conservation_bonsai.futureTreatmentDate,Object Analysis Information,Future treatment,Future treatment date,futureTreatmentGroupList > futureTreatmentGroup,futureTreatmentDate,date,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_bonsai,ns2:conservation_bonsai,conservation_bonsai.futureTreatmentNote,Object Analysis Information,Future treatment,Future treatment note,futureTreatmentGroupList > futureTreatmentGroup,futureTreatmentNote,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.fertilizerUsed,Living Plant Information,Fertilization,field.conservation_livingplant.fertilizerUsed,fertilizationGroupList > fertilizationGroup,fertilizerUsed,string,n,n,y,vocabulary: fertilizerused,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.appliedBy,Living Plant Information,Fertilization,field.conservation_livingplant.appliedBy,fertilizationGroupList > fertilizationGroup,appliedBy,string,n,n,y,authority: person/local,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.nitrogenPercent,Living Plant Information,Fertilization,field.conservation_livingplant.nitrogenPercent,fertilizationGroupList > fertilizationGroup,nitrogenPercent,float,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.phosphorusPercent,Living Plant Information,Fertilization,field.conservation_livingplant.phosphorusPercent,fertilizationGroupList > fertilizationGroup,phosphorusPercent,float,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.potassiumPercent,Living Plant Information,Fertilization,field.conservation_livingplant.potassiumPercent,fertilizationGroupList > fertilizationGroup,potassiumPercent,float,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.applicationDate,Living Plant Information,Fertilization,field.conservation_livingplant.applicationDate,fertilizationGroupList > fertilizationGroup,applicationDate,date,n,n,y,"","",not in core_7-0-0
