fullname,namespace,field,in_core?,in_anthro?,in_bonsai?,in_botgarden?,in_fcart?,in_herbarium?,in_lhmc?,in_materials?,in_ohc?,in_publicart?
ns2:acquisitions_commission:commissionActualValueAmount,ns2:acquisitions_commission,commissionActualValueAmount,,,,,,,,,,y
ns2:acquisitions_commission:commissionActualValueCurrency,ns2:acquisitions_commission,commissionActualValueCurrency,,,,,,,,,,y
ns2:acquisitions_commission:commissionBudgetType,ns2:acquisitions_commission,commissionBudgetType,,,,,,,,,,y
ns2:acquisitions_commission:commissionBudgetTypeNote,ns2:acquisitions_commission,commissionBudgetTypeNote,,,,,,,,,,y
ns2:acquisitions_commission:commissionDate,ns2:acquisitions_commission,commissionDate,,,,,,,,,,y
ns2:acquisitions_commission:commissioningBody,ns2:acquisitions_commission,commissioningBody,,,,,,,,,,y
ns2:acquisitions_commission:commissionProjectedValueAmount,ns2:acquisitions_commission,commissionProjectedValueAmount,,,,,,,,,,y
ns2:acquisitions_commission:commissionProjectedValueCurrency,ns2:acquisitions_commission,commissionProjectedValueCurrency,,,,,,,,,,y
ns2:acquisitions_common:accessionDateGroup,ns2:acquisitions_common,accessionDateGroup,y,y,y,,y,,y,y,y,
ns2:acquisitions_common:acquisitionAuthorizer,ns2:acquisitions_common,acquisitionAuthorizer,y,y,y,,y,,y,y,,y
ns2:acquisitions_common:acquisitionAuthorizerDate,ns2:acquisitions_common,acquisitionAuthorizerDate,y,y,y,,y,,y,y,,y
ns2:acquisitions_common:acquisitionDateGroup,ns2:acquisitions_common,acquisitionDateGroup,y,y,y,,y,,y,y,y,
ns2:acquisitions_common:acquisitionFundingCurrency,ns2:acquisitions_common,acquisitionFundingCurrency,y,y,y,,y,,y,,y,y
ns2:acquisitions_common:acquisitionFundingSource,ns2:acquisitions_common,acquisitionFundingSource,y,y,y,,y,,y,,y,y
ns2:acquisitions_common:acquisitionFundingSourceProvisos,ns2:acquisitions_common,acquisitionFundingSourceProvisos,y,y,y,,y,,y,,y,y
ns2:acquisitions_common:acquisitionFundingValue,ns2:acquisitions_common,acquisitionFundingValue,y,y,y,,y,,y,,y,y
ns2:acquisitions_common:acquisitionMethod,ns2:acquisitions_common,acquisitionMethod,y,y,y,,y,,y,y,y,y
ns2:acquisitions_common:acquisitionNote,ns2:acquisitions_common,acquisitionNote,y,y,y,,y,,y,y,y,y
